Job Title,Company Name,Exp,Number of opening,Location,Link
Instrument Reference Data Analyst - Team Leader analyst,JPMorgan,4 to 5 ,1,Mumbai City,https://www.shine.com/jobs/instrument-reference-data-analyst-team-leader-analyst-permanent/jpmorgan/12512633
Req.  for Data Scientist-Reputed Data Analytics Industr ...,Seven Consultancy,2 to 7 ,1,Hyderabad,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-data-analytics-industry-permanent/seven-consultancy/12494271
Data Scientist Internship at Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,0 ,9,"Nashik+8Kalyan, Kharghar, Navi Mumbai, Ratnagiri, Thane, Mumbai City, Dombivali, Panvel",https://www.shine.com/jobs/data-scientist-internship-at-mumbai-internship/maxgen-technologies-private-limited/12506729
 for Chief Data Scientist-Reputed IT Industry,Seven Consultancy,4 to 5 ,1,Chennai,https://www.shine.com/jobs/jobs-for-chief-data-scientist-reputed-it-industry-permanent/seven-consultancy/12495421
Data Scientist - Senior,Cummins India Ltd,4 to 7 ,1,Pune,https://www.shine.com/jobs/data-scientist-senior-permanent/cummins-india-ltd/12493642
Clinical Data Analyst,QUISCON BIOTECH,0 to 2 ,15,"Bangalore+4Chennai, Hyderabad, Pune, Mumbai City",https://www.shine.com/jobs/clinical-data-analyst-work-from-home/quiscon-biotech/12506812
Req.  For Data Scientist -Reputed Data Analytics Indust ...,Seven Consultancy,2 to 6 ,1,Delhi,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-data-analytics-industry-permanent/seven-consultancy/12493032
Require now  Data Scientist,Seven Consultancy,3 to 4 ,1,Chennai,https://www.shine.com/jobs/require-now-data-scientist-permanent/seven-consultancy/12496405
Lead Data Engineer,Standard Chartered Bank Ltd,12 to 14 ,1,Mumbai City,https://www.shine.com/jobs/lead-data-engineer-permanent/standard-chartered-bank-ltd/12492462
Reference Data Analyst - Team Leader,JPMorgan,3 to 6 ,1,Mumbai City,https://www.shine.com/jobs/reference-data-analyst-team-leader-permanent/jpmorgan/12512994
Urgent requirement for Lead Data Engineer - Data Wareho ...,Huquo,3 to 5 ,1,Hyderabad,https://www.shine.com/jobs/urgent-requirement-for-lead-data-engineer-data-warehousing-permanent/huquo/12497215
SENIOR DATA SCIENTIST ( DEEP LEARNING/ NLP),Augusta Infotech,10 to 13 ,1,Mumbai City,https://www.shine.com/jobs/senior-data-scientist-deep-learning-nlp-permanent/augusta-infotech/12500814
Looking for Python Developer - Numpy/Pandas,Employee Forums,0 to 1 YrGurugram,1,Not Defined,https://www.shine.com/jobs/looking-for-python-developer-numpypandas-permanent/employee-forums/12498906
"Trade Support, Reference Data - Analyst",JPMorgan,2 to 4 ,1,Mumbai City,https://www.shine.com/jobs/trade-support-reference-data-analyst-permanent/jpmorgan/12512293
Data Engineer-Manager-P&T Labs,PricewaterhouseCoopers (PWC),3 to 8 ,1,Bangalore,https://www.shine.com/jobs/data-engineer-manager-pt-labs-permanent/pricewaterhousecoopers-pwc/12499561
Req. now  Data Scientist,Seven Consultancy,3 to 5 ,1,Delhi,https://www.shine.com/jobs/req-now-data-scientist-permanent/seven-consultancy/12493691
