Job Title,Company Name,Exp,Number of opening,Location,Link,Job Category
Lead Data Engineer,Mindera,3,1,Bangalore,https://www.shine.com/jobs/lead-data-engineer-permanent/mindera/12502627,Data Engineer
Python Developer,R3 Consultant,3,2,Pune,https://www.shine.com/jobs/python-developer-permanent/r3-consultant/12497547,Python Developer
Data Scientist  Recruitment,Garima Interprises Hiring For SkySu...,0,99,"Oman+14Qatar, Katni, Saudi Arabia, Other Himachal Pradesh, Varanasi, Other Maharashtra, Dehradun, Kuwait, Other Odisha, Other Chattisgarh, United Arab Emirates, Other Madhya Pradesh, Other Uttarakhand, Other Jharkhand",https://www.shine.com/jobs/data-scientist-job-recruitment-permanent/garima-interprises/12494991,Data Scientist
Data Scientist  Recruitment,Garima Interprises Hiring For SkySu...,0,99,"Oman+14Qatar, Panaji, Coimbatore, Saudi Arabia, Jammu, Bangalore, Kuwait, Chennai, United Arab Emirates, Hyderabad, Vijayawada, Vishakhapatnam, Udaipur, Vasco da Gama",https://www.shine.com/jobs/data-scientist-job-recruitment-permanent/garima-interprises/12494986,Data Scientist
Data Scientist  Recruitment,Garima Interprises Hiring For SkySu...,0,99,"Oman+14Qatar, Saudi Arabia, Nashik, Kuwait, Indore, United Arab Emirates, Navi Mumbai, Sangli, Thane, Pune, Aurangabad, Mumbai City, Kolhapur, Nagpur",https://www.shine.com/jobs/data-scientist-job-recruitment-permanent/garima-interprises/12494932,Data Scientist
Python Developer,ALOIS TECHNOLOGIES PRIVATE LIMITED,7,5,Bangalore,https://www.shine.com/jobs/python-developer-contractual/alois-technologies-private-limited/12497613,Python Developer
 for Data Engineer-Reputed Cloud Industry,Seven Consultancy,2,1,Hyderabad,https://www.shine.com/jobs/jobs-for-data-engineer-reputed-cloud-industry-permanent/seven-consultancy/12495547,Data Engineer
 for Junior AI Data Scientist-Reputed IT Industry,Seven Consultancy,4,1,Chennai,https://www.shine.com/jobs/jobs-for-junior-ai-data-scientist-reputed-it-industry-permanent/seven-consultancy/12494871,Data Scientist
Req. post for  Junior AI Data Scientist-Reputed IT Indu ...,Seven Consultancy,1,1,Delhi,https://www.shine.com/jobs/req-post-for-junior-ai-data-scientist-reputed-it-industry-delhi-permanent/seven-consultancy/12494691,Data Scientist
Joiner for Junior AI Data Scientist,Seven Consultancy,4,1,Bangalore,https://www.shine.com/jobs/joiner-for-junior-ai-data-scientist-permanent/seven-consultancy/12494609,Data Scientist
